,title,genres,imdb_score
973,Penguins of Madagascar,  comedy    animation    family    scifi  ,6.6
975,Texas Chainsaw 3D,  horror    thriller  ,4.8
979,Mr. Peabody & Sherman,  action    family    animation    history    scifi    romance    comedy    fantasy  ,6.8
980,Vampire Academy,  fantasy    horror    thriller    action    comedy    drama  ,5.4
981,"I, Frankenstein",  horror    thriller    scifi    action    fantasy  ,5.1
982,Seventh Son,  fantasy    action  ,5.5
985,Sabotage,  drama    thriller    western    action    crime  ,5.7
987,The Railway Man,  drama    european    war    romance  ,7.1
990,Life of Crime,  comedy    crime  ,5.8
991,Get on Up,  drama    music  ,6.9
993,The November Man,  crime    action    thriller  ,6.3
995,The Nut Job,  comedy    crime    family    animation  ,5.7
997,Brick Mansions,  crime    drama    action    thriller  ,5.6
998,The Big Wedding,  comedy    drama    romance  ,5.6
1002,The Battered Bastards of Baseball,  documentation    sport  ,8.0
1008,The Smurfs 2,  fantasy    animation    comedy    family  ,5.3
1009,Metallica: Through the Never,  music  ,7.1
1010,Walk of Shame,  comedy  ,6.0
1011,Search Party,  comedy  ,5.6
1012,Stand by Me Doraemon,  fantasy    animation    comedy    drama    family    scifi  ,7.3
1013,Thanks for Sharing,  drama    comedy    romance  ,6.4
1017,The Haunting in Connecticut 2: Ghosts of Georgia,  horror    thriller    drama  ,5.2
1020,Elena,  documentation    european    drama    family  ,7.6
1022,Berserk: The Golden Age Arc III - The Advent,  fantasy    action    drama    horror    romance    animation  ,7.8
1025,A Haunted House 2,  comedy    horror    fantasy  ,4.6
1028,We Steal Secrets: The Story of WikiLeaks,  documentation  ,6.9
1029,Effie Gray,  drama    romance  ,6.0
1030,Free Birds,  comedy    family    scifi    animation  ,5.8
1032,The Short Game,  documentation    sport  ,7.3
1033,PK,  comedy    drama    romance    fantasy    scifi  ,8.2
1034,Underdogs,  romance    drama    documentation    sport    animation    family  ,6.5
1035,Jinxed,  fantasy    comedy    family  ,6.4
1037,Swearnet: The Movie,  comedy  ,6.1
1044,Chennai Express,  romance    comedy    drama    action  ,6.1
1058,Haider,  drama    action    crime    thriller  ,8.1
1059,2 States,  comedy    drama    romance  ,6.9
1063,A Fairly Odd Summer,  fantasy    animation    comedy    family  ,4.0
1068,Khoobsurat,  comedy    romance  ,6.5
1069,Monty Python: Live (Mostly),  comedy    documentation  ,7.6
1072,Highway,  drama    crime    romance  ,7.6
1073,Queen,  drama    comedy  ,8.2
1081,Mission Blue,  documentation    drama  ,7.9
1084,ABCD,  drama    music  ,6.3
1086,City of God: 10 Years Later,  documentation  ,6.4
1088,Bombay Talkies,  drama  ,6.6
1092,Ragini MMS 2,  horror  ,3.9
1093,Fukrey,  romance    comedy    drama  ,6.9
1094,Dedh Ishqiya,  drama    romance    thriller    comedy  ,7.0
1095,Hasee Toh Phasee,  comedy    romance  ,6.8
1100,Boss,  action    comedy    crime    drama  ,5.3
1104,Mary Kom,  drama    sport    action  ,6.9
1110,Jim Jefferies: Bare,  comedy  ,8.0
1111,Dabbe 5: Zehr-i Cin,  horror  ,6.0
1117,Humpty Sharma Ki Dulhania,  drama    comedy    romance  ,6.0
1119,The Butterfly's Dream,  drama    history    romance  ,7.8
1120,Jeff Dunham: All Over the Map,  comedy  ,7.1
1123,Ghanchakkar,  thriller    crime    comedy  ,5.8
1133,Inkaar,  drama    romance    thriller  ,6.2
1135,Coming Soon,  drama    comedy    romance  ,7.5
1137,Refugiado,  drama    thriller    european  ,6.4
1139,Wedding Association,  comedy  ,7.1
1142,Madras Cafe,  thriller    action    drama  ,7.7
1143,Deliha,  comedy    family    romance  ,4.5
1146,Ungli,  comedy    drama    thriller    crime  ,5.8
1150,Ghadi,  drama    comedy    family  ,7.3
1152,October 1,  thriller  ,6.4
1154,Satyagraha,  drama    documentation  ,5.9
1166,Raja Natwarlal,  thriller    crime  ,6.1
1172,What the Fish,  drama    comedy  ,5.2
1187,Anaamika,  thriller  ,5.5
1188,Mumbai Delhi Mumbai,  comedy    romance  ,5.7
1203,Gollu Aur Pappu,  comedy  ,3.8
1210,Chhota Bheem Aur Hanuman,  fantasy    animation  ,7.1
1230,Hunt for the Wilderpeople,  comedy    drama    action  ,7.8
1231,Hell or High Water,  western    thriller    action    crime    drama  ,7.6
1234,It Follows,  horror    thriller  ,6.8
1240,Raw,  horror    drama    fantasy    european  ,7.0
1241,Kung Fu Panda 3,  comedy    animation    action    family    fantasy    drama  ,7.1
1242,Ouija: Origin of Evil,  thriller    horror    drama  ,5.3
1244,Nocturnal Animals,  drama    thriller  ,7.5
1245,The Gift,  thriller    drama    documentation  ,7.1
1249,War Dogs,  crime    drama    comedy    war  ,7.1
1250,Blackhat,  thriller    action    crime  ,5.4
1253,The Hateful Eight,  western    crime    drama    thriller  ,7.8
1254,Crimson Peak,  thriller    drama    horror    romance    fantasy  ,6.5
1257,Tangerine,  comedy    drama    crime  ,7.1
1259,Legend,  thriller    crime    drama    european  ,6.9
1267,"Hail, Caesar!",  drama    comedy    music  ,6.3
1271,The Edge of Seventeen,  comedy    drama  ,7.3
1273,Steve Jobs,  drama  ,7.2
1276,A Silent Voice: The Movie,  romance    animation    drama    family  ,8.1
1280,London Has Fallen,  thriller    crime    drama    action  ,5.9
1281,Mr. Right,  comedy    romance    action  ,6.3
1284,Chappie,  scifi    drama    thriller    action    crime  ,6.8
1285,Christine,  drama  ,6.9
1288,Bāhubali: The Beginning,  drama    action    fantasy  ,8.0
1290,Hush,  horror    thriller  ,6.6
1293,The Conjuring 2,  thriller    horror    drama  ,7.3
1295,Gantz:O,  animation    scifi    action    drama    fantasy    thriller    horror  ,7.1
1296,Unfriended,  thriller    horror    drama  ,5.5
1300,In a Valley of Violence,  thriller    western    drama    crime    action  ,6.0
1303,"Hello, My Name Is Doris",  romance    comedy    drama  ,6.6
1307,A Monster Calls,  fantasy    drama    thriller    animation    family    european  ,7.5
1310,Under the Shadow,  thriller    horror    war    drama    fantasy  ,6.8
1312,Loving,  drama    romance  ,7.0
1317,The Danish Girl,  drama    romance    european  ,7.1
1318,He Never Died,  horror    fantasy    drama    thriller    comedy  ,6.4
1319,Home,  fantasy    scifi    comedy    family    animation  ,6.6
1322,Before I Wake,  drama    fantasy    horror    thriller  ,6.2
1324,The Fundamentals of Caring,  drama    comedy  ,7.3
1327,Batman: The Killing Joke,  drama    crime    thriller    animation    action  ,6.4
1328,Cop Car,  thriller    crime  ,6.3
1329,Bastille Day,  action    drama    thriller    crime  ,6.3
1330,Sinister 2,  horror    thriller  ,5.3
1334,American Ultra,  comedy    action    scifi  ,6.1
1336,Spectral,  scifi    action    thriller  ,6.3
1338,"Crouching Tiger, Hidden Dragon: Sword of Destiny",  drama    fantasy    action  ,6.1
1343,The Bye Bye Man,  thriller    fantasy    horror    drama  ,4.3
1345,Beasts of No Nation,  war    drama  ,7.7
1348,Self/less,  scifi    thriller    action    drama  ,6.5
1349,Collateral Beauty,  drama    romance  ,6.7
1356,The Forest,  thriller    scifi    drama    fantasy    horror  ,4.8
1357,Demonic,  thriller    horror  ,5.3
1360,Hyena Road,  thriller    action    drama    war  ,6.5
1364,Ip Man 3,  drama    action    history  ,7.0
1372,ARQ,  scifi    thriller    action  ,6.3
1374,Ratchet & Clank,  action    animation    comedy    family    scifi    fantasy  ,5.5
1375,Dangal,  action    drama    sport  ,8.4
1377,Pee-wee's Big Holiday,  comedy    family  ,6.1
1383,The Young Messiah,  drama    fantasy  ,5.6
1387,Marauders,  thriller    action    crime  ,5.5
1391,Our Brand Is Crisis,  comedy    drama  ,6.1
1392,The Ridiculous 6,  western    action    comedy  ,4.8
1393,Special Correspondents,  comedy  ,5.8
1394,Jem and the Holograms,  fantasy    drama    family    music    romance    scifi  ,4.1
1396,Mindhorn,  comedy    thriller  ,6.3
1397,The Do-Over,  action    comedy  ,5.7
1404,Suffragette,  drama    history  ,6.9
1411,By the Sea,  drama    european    romance  ,5.3
1420,Results,  comedy    romance  ,5.4
1425,Legends of the Hidden Temple,  family  ,5.7
1431,Message from the King,  thriller    drama    action    crime    european  ,6.4
1436,Sleight,  thriller    crime    drama    scifi    action  ,5.9
1438,Middle School: The Worst Years of My Life,  comedy    family    animation  ,6.0
1440,Rock the Kasbah,  comedy    music    war  ,5.5
1448,Kevin Hart: What Now?,  comedy    documentation  ,5.9
1449,Extraction,  thriller    action  ,4.1
1451,The Warriors Gate,  action    comedy    family    fantasy    european  ,5.4
1454,Incarnate,  horror    thriller  ,5.2
1456,Term Life,  thriller    action    crime    drama  ,5.6
1458,Drishyam,  thriller    crime    drama  ,8.2
1460,John Mulaney: The Comeback Kid,  comedy    documentation  ,7.9
1471,True Memoirs of an International Assassin,  action    comedy    crime  ,5.9
1473,The Darkness,  thriller    horror  ,4.5
1485,Pandora,  drama    action    thriller  ,6.6
1486,Ok Kanmani,  drama    romance  ,7.5
1501,Kapoor & Sons,  romance    comedy    drama    family  ,7.7
1510,Septembers of Shiraz,  drama    thriller    western  ,7.9
1518,Brothers,  drama    action    sport  ,6.4
1536,Heneral Luna,  action    drama    history    war  ,7.4
1538,Mucize,  drama    comedy    romance    documentation    european  ,7.7
1543,Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry,  comedy    documentation  ,7.4
1545,Jim Jefferies: Freedumb,  comedy    documentation  ,7.7
1546,Force 2,  crime    action    thriller  ,6.2
1550,Tamasha,  drama    comedy    romance  ,7.4
1554,Strange Weather,  drama  ,6.0
1561,The Guardian Brothers,  animation    family    fantasy    comedy  ,5.4
1571,Udta Punjab,  crime    action    drama  ,7.8
1573,Toro,  thriller    action    crime    drama    european  ,5.9
1574,Jeff Dunham: Unhinged in Hollywood,  comedy  ,6.7
1576,Hunterrr,  romance    drama    comedy  ,7.0
1579,Keith Richards: Under the Influence,  music    documentation  ,7.1
1586,4K Fireplace,  family    reality  ,7.7
1590,Smoke & Mirrors,  thriller    european  ,6.9
1603,The Lion Woman,  drama    european  ,6.6
1605,The Beginning of Life,  documentation    family  ,7.6
1606,Pyaar Ka Punchnama 2,  comedy    drama    romance  ,7.3
1622,Gridlocked,  action  ,5.8
1625,Chocolate City: Vegas Strip,  drama  ,3.7
1634,Ali Baba and the 7 Dwarfs,  comedy    action    drama  ,5.8
1636,Talvar,  thriller    crime    drama  ,8.1
1637,"Liar, Liar, Vampire",  comedy    family  ,5.8
1639,Dil Dhadakne Do,  drama    comedy    romance  ,7.0
1640,Wazir,  thriller    crime    action    drama  ,7.2
1645,1898: Our Last Men in the Philippines,  drama    history    war    european  ,6.5
1653,Gabbar Is Back,  drama    action    crime    comedy  ,7.2
1655,Jonah,  thriller    drama    romance    family  ,5.4
1657,Motu Patlu: King Of Kings,  animation    comedy  ,6.8
1663,Puerto Ricans in Paris,  comedy  ,5.3
1671,ABCD 2,  music    drama  ,5.4
1680,Te3n,  thriller    drama  ,7.3
1686,U Turn,  horror    thriller    crime    drama  ,7.5
1690,Poshter Girl,  comedy  ,6.6
1692,Shaandaar,  romance    drama    comedy  ,3.6
1695,Hawaizaada,  fantasy    drama  ,5.6
1697,Very Big Shot,  thriller    action    crime    drama  ,7.1
1699,X: Past Is Present,  drama    thriller    romance  ,5.1
1704,Hannibal Buress: Comedy Camisado,  comedy  ,6.6
1706,Bangistan,  comedy    drama  ,4.5
1709,Kiss of Life,  comedy    romance    drama  ,5.9
1711,S Storm,  action    thriller    crime    drama  ,5.2
1716,Husband Factor,  comedy    fantasy    romance    drama  ,6.2
1725,Husband Factor: Resurrection,  comedy    family    romance    drama    fantasy  ,5.4
1734,Wedding Association 2: Circumcision,  comedy  ,6.4
1740,Niyazi Gül Dörtnala,  comedy    drama    action  ,4.5
1742,My Mother's Wound,  drama    war  ,7.3
1753,Dedemin Fişi,  comedy    family  ,5.5
1765,Souk Bazaar,  comedy  ,5.2
1766,Dharam Sankat Mein,  comedy    drama  ,6.3
1775,Kara Bela,  comedy    action    drama  ,6.8
1781,Sommore: The Reign Continues,  comedy  ,6.9
1789,Chris D'Elia: Incorrigible,  comedy    documentation  ,6.4
1797,'76,  romance    drama  ,5.6
1807,Snervous Tyler Oakley,  documentation  ,5.4
1810,A Chaster Marriage,  romance    family    comedy  ,5.4
1812,Hajwala: The Missing Engine,  drama    thriller    action    crime    sport  ,2.1
1823,Jada,  drama    sport  ,5.3
1827,Blade Runner 2049,  scifi    thriller    action    drama  ,8.0
1829,Sorry to Bother You,  fantasy    scifi    drama    comedy  ,6.9
1830,Dunkirk,  drama    history    thriller    war    action    european  ,7.8
1831,Wind River,  thriller    crime    drama    western  ,7.7
1832,Molly's Game,  drama    crime    sport  ,7.4
1836,Den of Thieves,  thriller    action    crime    drama  ,7.0
1838,Phantom Thread,  romance    drama  ,7.4
1845,Lady Bird,  drama    comedy  ,7.4
1847,The Ritual,  horror    thriller  ,6.3
1853,Darkest Hour,  drama    war    history    thriller    family  ,7.4
1859,The Nightingale,  thriller    drama    horror  ,7.3
1865,The Disaster Artist,  comedy    drama  ,7.3
1868,Ghostland,  horror    thriller    drama    european  ,6.4
1871,The Ballad of Buster Scruggs,  western    comedy    drama    romance  ,7.3
1872,Okja,  drama    scifi    action  ,7.3
1874,The Bad Batch,  drama    action    horror    romance    scifi  ,5.2
1882,Shot Caller,  thriller    crime    drama  ,7.3
1884,The Shack,  fantasy    drama  ,6.2
1889,Roma,  drama    european  ,7.7
1891,Crooked House,  drama    crime  ,6.3
1893,The Beguiled,  drama    documentation    war    thriller  ,6.8
1898,What Happened to Monday,  thriller    drama    action    crime    fantasy    scifi  ,6.8
1899,The Foreigner,  thriller    action    crime    drama    european  ,7.0
1900,Apostle,  thriller    horror    drama    fantasy  ,6.3
1902,The Package,  comedy    drama    thriller  ,5.5
1905,Mary Magdalene,  drama  ,5.9
1910,The Invisible Guest,  thriller    crime    drama    european  ,8.0
1911,The Cloverfield Paradox,  thriller    horror    scifi    drama    action  ,5.5
1914,Abducted in Plain Sight,  crime    documentation    thriller    drama  ,6.8
1915,Annabelle: Creation,  horror    thriller  ,6.5
1923,I Am Not Your Negro,  documentation    history    european  ,7.9
1926,Bird Box,  thriller    drama    horror    scifi  ,6.6
1928,The Zookeeper's Wife,  drama    war    history  ,7.0
1931,Outlaw King,  drama    action    history    war  ,6.9
1933,Veronica,  horror  ,6.2
1936,Beirut,  thriller    action    crime    drama  ,6.4
1937,The Night Comes for Us,  thriller    action  ,6.9
1940,Destination Wedding,  romance    comedy    drama  ,6.0
1946,The Babysitter,  horror    comedy  ,6.4
1947,When We First Met,  fantasy    comedy    romance  ,6.4
1948,Extinction,  drama    thriller    scifi    action  ,5.8
1949,To All the Boys I've Loved Before,  romance    comedy    drama  ,7.1
1954,Everybody Knows,  drama    crime    thriller    european  ,6.9
1962,Home Again,  drama    romance    comedy  ,5.8
1963,Mudbound,  drama    war  ,7.4
1964,The Book of Henry,  thriller    crime    drama  ,6.5
1972,Berlin Syndrome,  thriller    horror    drama  ,6.2
1973,Anon,  scifi    drama    action    crime    thriller    european  ,6.1
1975,Replicas,  thriller    drama    scifi  ,5.5
1976,Private Life,  drama    comedy  ,7.2
1977,Beyond Skyline,  scifi    thriller    horror    action  ,5.3
1979,Mirai,  fantasy    animation    drama    family  ,7.0
1985,King of Thieves,  drama    crime    history  ,5.5
1989,Black Mirror: Bandersnatch,  scifi    thriller    fantasy    drama  ,7.1
1993,RBG,  documentation  ,7.6
1998,The Kindergarten Teacher,  drama    thriller    european  ,6.7
1999,Wheelman,  thriller    crime    action  ,6.4
2000,Mirage,  thriller    drama    documentation    fantasy    music    romance    european  ,7.4
2001,Set It Up,  comedy    romance  ,6.5
2002,An Evening with Beverly Luff Linn,  crime    comedy  ,5.8
2007,Little Italy,  romance    comedy  ,5.7
2010,The Outsider,  crime    thriller    action    drama  ,6.2
2014,Banana Split,  comedy  ,6.2
2017,Creep 2,  horror    thriller    crime    drama  ,6.4
2018,Dumplin',  comedy    drama  ,6.5
2021,Red Joan,  thriller    drama    history    romance  ,6.4
2022,Mute,  thriller    drama    scifi  ,5.4
2024,Hell Fest,  horror    thriller  ,5.5
2025,Small Town Crime,  thriller    crime  ,6.6
2026,Adrift,  thriller    drama    romance    action    european  ,6.6
2029,Happy as Lazzaro,  fantasy    drama    european  ,7.5
2030,A Bad Moms Christmas,  comedy  ,5.6
2031,A-X-L,  scifi    family    thriller    action    drama  ,5.3
2032,The Other Side of the Wind,  drama    european  ,6.7
2038,22 July,  thriller    history    crime    drama    european  ,6.8
2040,Victoria & Abdul,  drama    history  ,6.8
2042,May the Devil Take You,  thriller    horror  ,5.9
2049,Death Note,  fantasy    horror    thriller    action    crime    drama  ,4.5
2051,Bright,  thriller    fantasy    action    crime    scifi  ,6.3
2063,"Game Over, Man!",  comedy    action  ,5.4
2065,Piercing,  thriller    horror  ,5.5
2070,Mowgli: Legend of the Jungle,  drama    fantasy  ,6.5
2073,Goon: Last of the Enforcers,  comedy    sport  ,5.8
2077,Ricky Gervais: Humanity,  comedy  ,7.9
2078,Trolls Holiday,  fantasy    comedy    family    romance    animation  ,6.2
2084,Siberia,  thriller    european    crime    romance  ,4.3
2086,Woodshock,  thriller    horror    drama    fantasy  ,4.2
2087,War Machine,  drama    comedy    war  ,6.0
2088,Illang: The Wolf Brigade,  thriller    drama    action    scifi  ,5.9
2089,Security,  crime    thriller    action    european  ,5.7
2094,Clive Davis: The Soundtrack of Our Lives,  music    documentation  ,7.5
2103,We the Animals,  drama  ,6.9
2105,Welcome Home,  thriller    horror    drama  ,5.2
2106,Midnight Sun,  drama    romance    european  ,6.6
2108,Tau,  thriller    scifi  ,5.8
2109,Brain on Fire,  drama    european  ,6.6
2114,Bathtubs Over Broadway,  comedy    music    documentation  ,7.6
2121,The Long Dumb Road,  comedy  ,6.1
2133,John Mulaney: Kid Gorgeous at Radio City,  comedy  ,7.9
2136,Andhadhun,  thriller    music    drama    comedy    crime  ,8.2
2147,Day of the Dead: Bloodline,  horror    drama    scifi    thriller    action    european  ,3.4
2151,First They Killed My Father,  drama    history    war  ,7.2
2152,The Titan,  thriller    fantasy    scifi    drama    romance  ,4.8
2157,Animal Crackers,  comedy    animation    family    fantasy  ,5.8
2164,The Resurrection of Gavin Stone,  drama    family    romance    comedy  ,6.2
2167,Bad Genius,  thriller    comedy    crime    drama  ,7.6
2170,Godzilla: The Planet Eater,  animation    action    scifi    horror  ,5.0
2171,Blame!,  scifi    thriller    animation    action    drama  ,6.6
2173,Bullet Head,  thriller    crime    drama    european  ,5.4
2177,The Photographer of Mauthausen,  thriller    drama    war    history    european  ,6.7
2186,Godzilla: Planet of the Monsters,  scifi    animation    action  ,6.0
2189,Girl,  drama    european  ,7.1
2190,Acts of Vengeance,  thriller    action    drama    crime    european  ,5.7
2193,Bleach,  fantasy    action  ,6.4
2200,Birth of the Dragon,  drama    action  ,5.6
2205,Fullmetal Alchemist,  fantasy    scifi    action  ,5.2
2209,Benji,  crime    drama    family  ,6.3
2211,White Fang,  animation    drama    western    european  ,6.9
2214,The Resistance Banker,  drama    war    european  ,6.9
2232,The Battleship Island,  action    drama    history  ,7.1
2238,Lu Over the Wall,  fantasy    animation    family    music    comedy  ,6.8
2241,Hampstead,  comedy    romance    drama  ,6.0
2242,Reprisal,  action    thriller    crime    drama  ,4.2
2243,Like Father,  comedy    drama  ,6.1
2252,MFKZ,  crime    scifi    thriller    animation    action    comedy    european  ,6.7
2259,The Christmas Chronicles,  fantasy    family    comedy  ,7.0
2264,Patrick,  comedy    drama    family    romance  ,6.2
2265,The Ottoman Lieutenant,  drama    war  ,6.4
2271,The World Is Yours,  crime    comedy    european  ,6.3
2276,Next Gen,  animation    action    family    scifi    comedy  ,6.6
2277,The Saint,  crime    action  ,4.9
2278,Voyeur,  documentation    crime    drama  ,6.2
2295,Fun Mom Dinner,  comedy  ,5.3
2304,Te Ata,  drama    history  ,7.4
2306,Indian Horse,  drama    sport  ,7.3
2308,The Forgiven,  thriller  ,5.9
2323,Modest Heroes,  fantasy    animation    drama    family    comedy  ,6.6
2326,Mercury 13,  documentation  ,6.9
2330,Godzilla: City on the Edge of Battle,  scifi    animation    action  ,5.8
2334,The Outcasts,  comedy  ,5.4
2341,Adam Sandler: 100% Fresh,  comedy    music  ,7.5
2343,An Imperfect Murder,  crime    drama    thriller  ,3.1
2346,Gnome Alone,  fantasy    family    drama    comedy    thriller    music    animation  ,5.6
2355,The Week Of,  comedy  ,5.2
2361,Taylor Swift: Reputation Stadium Tour,  documentation    music  ,8.3
2362,Toc Toc,  comedy    family    fantasy    european  ,6.8
2363,John Leguizamo's Latin History for Morons,  comedy    documentation  ,7.4
2369,Giant,  drama    history    european  ,6.7
2375,Flavors of Youth,  drama    animation    romance  ,6.6
2383,Monster High: Electrified,  animation    fantasy  ,5.5
2387,Perdida,  crime    drama    thriller  ,5.6
2392,S.W.A.T.: Under Siege,  thriller    crime    action  ,4.5
2398,Whose Streets?,  documentation  ,5.5
2404,Alex Strangelove,  drama    comedy    romance  ,6.3
2405,Lowriders,  drama    crime  ,5.6
2412,Justice,  western    drama    action    european  ,4.0
2415,Tom Segura: Disgraceful,  comedy    documentation  ,7.5
2417,Sierra Burgess Is a Loser,  drama    romance    comedy  ,5.8
2419,Battle,  drama    romance    music    european  ,5.9
2420,The Seven Deadly Sins: Prisoners of the Sky,  fantasy    animation    action  ,7.1
2426,Okko's Inn,  comedy    fantasy    animation    family    drama  ,7.0
2431,A Christmas Prince,  romance    comedy    family  ,5.7
2437,Killing Hasselhoff,  comedy  ,4.4
2439,Thi Mai,  comedy    family    european  ,6.0
2443,Yucatán,  comedy    romance    european  ,5.5
2460,The B-Side: Elsa Dorfman's Portrait Photography,  documentation  ,6.7
2461,A Very Country Christmas,  romance    drama    family    comedy  ,6.0
2468,Show Dogs,  comedy    crime    family  ,3.9
2469,Escape from Mr. Lemoncello's Library,  fantasy    family  ,5.4
2472,Amateur,  drama    sport  ,5.9
2474,Fireworks,  drama    documentation    fantasy    romance    scifi    family    animation  ,5.6
2476,Pachamama,  fantasy    animation    family    european  ,6.8
2478,Lust Stories,  romance    drama  ,6.4
2479,All I Wish,  comedy    drama    romance  ,5.2
2483,The Clapper,  comedy    drama  ,5.1
2493,Raees,  thriller    drama    action    crime  ,6.7
2496,Animal World,  thriller    action    fantasy    scifi    comedy    drama  ,6.5
2516,Nappily Ever After,  comedy    drama    romance  ,6.4
2523,Maktub,  drama    comedy  ,7.3
2535,Shepherds and Butchers,  drama    crime  ,6.8
2543,Pope Francis: A Man of His Word,  documentation    european  ,6.4
2547,Budapest,  comedy    european  ,5.4
2576,Point Blank,  action    thriller    crime    drama  ,5.7
2578,The Princess Switch,  romance    comedy    drama    family  ,6.0
2581,My Perfect Romance,  romance  ,4.6
2585,A Witches' Ball,  fantasy    scifi    family    comedy  ,5.2
2586,Ittefaq,  thriller    crime  ,7.2
2592,Going for Gold,  drama    family    sport  ,4.8
2604,Duck Duck Goose,  comedy    family    animation  ,5.7
2605,Revenger,  action    crime    thriller  ,5.7
2615,Edge of Fear,  thriller    crime    action  ,4.5
2617,Nothing to Lose,  drama  ,2.3
2621,Expedition Happiness,  documentation    european  ,5.9
2624,Step Sisters,  comedy  ,5.4
2625,Dovlatov,  drama  ,6.4
2629,SPF-18,  romance    drama    sport  ,3.2
2637,A Christmas Prince: The Royal Wedding,  romance    drama  ,5.3
2641,Trevor Noah: Son of Patricia,  comedy  ,7.3
2642,Raising the Bar,  drama    family    documentation    sport  ,5.5
2643,Pup Star: Better 2Gether,  family  ,4.4
2644,Jab Harry Met Sejal,  romance    comedy    drama  ,5.0
2648,Pihu,  thriller    drama    family  ,6.7
2680,Jagga Jasoos,  romance    action    comedy  ,6.4
2681,Candy Jar,  comedy  ,5.8
2682,Christmas Wedding Planner,  romance  ,4.3
2688,The Insomnia Club,  comedy    drama  ,6.2
2702,Trevor Noah: Afraid of the Dark,  comedy  ,7.2
2717,Sara's Notebook,  thriller    drama    european  ,5.9
2724,Love Beats Rhymes,  drama  ,5.4
2741,Monster Island,  comedy    fantasy    animation    family  ,4.7
2760,A Champion Heart,  family  ,5.9
2767,The Mansion,  horror    comedy    european  ,4.6
2774,In the Family,  comedy  ,7.7
2793,Sudani from Nigeria,  comedy    drama    family    sport  ,8.2
2796,Njan Prakashan,  comedy    drama  ,7.6
2814,C/o Kancharapalem,  drama  ,9.0
2816,Coin Heist,  crime    thriller    drama    romance  ,4.8
2830,Overnight Republic,  comedy  ,5.8
2835,Love Jacked,  comedy    romance  ,5.9
2843,Ladies First,  documentation    comedy    romance  ,3.9
2845,Sunday's Illness,  drama    european  ,6.9
2851,Born Racer,  drama    action    documentation  ,6.1
2854,Kevin James: Never Don't Give Up,  comedy  ,6.1
2860,Cook Off,  comedy    romance  ,6.1
2872,Fishtronaut: The Movie,  animation    family  ,7.5
